"","referentiality","gender_status","N","Mean","SD","FLSD"
"1","NonReferential","Gendered",76,1.48855131578947,2.50390659482303,0.698105996553182
"2","NonReferential","NonGendered",76,0.566625,2.37554597525846,0.698105996553182
"3","Referential","Gendered",76,-0.404493421052632,1.99382563766815,0.698105996553182
"4","Referential","NonGendered",76,-0.269889473684211,2.08983481909162,0.698105996553182
