SubjID,Referentiality,Gender_Status,Group,Anteriority,Baseline,Critical,diff_score
205,NonReferential,Gendered,Binary,Parietal,0.5177499999999999,2.21675,1.6990000000000003
205,NonReferential,NonGendered,Binary,Central,-3.3619999999999997,0.4645,3.8265
205,NonReferential,NonGendered,Binary,CentroParietal,-2.5015,1.0035,3.505
205,NonReferential,NonGendered,Binary,Frontal,-3.949,0.82175,4.77075
205,NonReferential,NonGendered,Binary,FrontoCentral,-4.1245,0.31325000000000003,4.43775
205,NonReferential,NonGendered,Binary,Parietal,-1.3960000000000001,1.3355,2.7315
205,Referential,Gendered,Binary,Central,1.5545,2.849,1.2945000000000002
205,Referential,Gendered,Binary,CentroParietal,1.547,3.64425,2.09725
205,Referential,Gendered,Binary,Frontal,1.2355,0.8095,-0.42600000000000005
205,Referential,Gendered,Binary,FrontoCentral,1.46175,2.463,1.00125
205,Referential,Gendered,Binary,Parietal,2.25475,3.40875,1.154
205,Referential,NonGendered,Binary,Central,-0.74325,0.18724999999999997,0.9304999999999999
205,Referential,NonGendered,Binary,CentroParietal,-0.42700000000000005,-0.19849999999999998,0.22850000000000006
205,Referential,NonGendered,Binary,Frontal,-1.112,2.942,4.054
205,Referential,NonGendered,Binary,FrontoCentral,-1.238,0.469,1.7069999999999999
205,Referential,NonGendered,Binary,Parietal,-0.59125,0.36550000000000005,0.9567500000000001
207,NonReferential,Gendered,Binary,Central,1.86975,2.607,0.7372500000000002
207,NonReferential,Gendered,Binary,CentroParietal,2.1865,3.2302500000000003,1.0437500000000002
207,NonReferential,Gendered,Binary,Frontal,1.35775,3.02275,1.6649999999999998
207,NonReferential,Gendered,Binary,FrontoCentral,2.01175,2.3715,0.35975
207,NonReferential,Gendered,Binary,Parietal,2.21775,3.437,1.2192499999999997
207,NonReferential,NonGendered,Binary,Central,0.96675,3.23075,2.2640000000000002
207,NonReferential,NonGendered,Binary,CentroParietal,1.15725,2.9715,1.81425
207,NonReferential,NonGendered,Binary,Frontal,1.9264999999999999,3.012,1.0855000000000001
207,NonReferential,NonGendered,Binary,FrontoCentral,1.29925,3.40175,2.1025
207,NonReferential,NonGendered,Binary,Parietal,1.1019999999999999,3.041,1.939
207,Referential,Gendered,Binary,Central,1.236,-0.292,-1.528
207,Referential,Gendered,Binary,CentroParietal,1.67275,-0.34975,-2.0225
207,Referential,Gendered,Binary,Frontal,1.7269999999999999,0.258,-1.4689999999999999
207,Referential,Gendered,Binary,FrontoCentral,1.22525,-0.40025,-1.6255
207,Referential,Gendered,Binary,Parietal,1.47,0.1615,-1.3085
207,Referential,NonGendered,Binary,Central,-1.4572500000000002,3.03575,4.493
207,Referential,NonGendered,Binary,CentroParietal,-0.8294999999999999,2.489,3.3185
207,Referential,NonGendered,Binary,Frontal,-1.38625,3.36775,4.754
207,Referential,NonGendered,Binary,FrontoCentral,-0.8550000000000001,3.2335000000000003,4.088500000000001
