SubjID,Referentiality,Gender_Status,Group,Anteriority,Baseline,Critical,diff_score
205,NonReferential,NonGendered,Binary,CentroParietal,1.19225,-0.83475,-2.027
205,NonReferential,NonGendered,Binary,Frontal,0.71775,-1.9375,-2.65525
205,NonReferential,NonGendered,Binary,FrontoCentral,0.04900000000000003,-1.6427500000000002,-1.69175
205,NonReferential,NonGendered,Binary,Parietal,1.3775,-0.30975,-1.68725
205,Referential,Gendered,Binary,Central,0.17999999999999997,-0.47450000000000003,-0.6545
205,Referential,Gendered,Binary,CentroParietal,0.69475,-0.6275,-1.32225
205,Referential,Gendered,Binary,Frontal,-0.63475,0.26275,0.8975
205,Referential,Gendered,Binary,FrontoCentral,-0.7702499999999999,-0.372,0.3982499999999999
205,Referential,Gendered,Binary,Parietal,1.25925,-0.45025,-1.7095
205,Referential,NonGendered,Binary,Central,0.3215,0.6134999999999999,0.2919999999999999
205,Referential,NonGendered,Binary,CentroParietal,0.6865,1.1265,0.44000000000000006
205,Referential,NonGendered,Binary,Frontal,-0.2592500000000001,1.026,1.28525
205,Referential,NonGendered,Binary,FrontoCentral,-0.5075,0.7827500000000001,1.29025
205,Referential,NonGendered,Binary,Parietal,0.14250000000000002,1.1985000000000001,1.056
207,NonReferential,Gendered,Binary,Central,3.1735,2.9545,-0.2190000000000003
207,NonReferential,Gendered,Binary,CentroParietal,3.52225,3.133,-0.3892500000000001
207,NonReferential,Gendered,Binary,Frontal,2.12625,4.272,2.14575
207,NonReferential,Gendered,Binary,FrontoCentral,2.3505,3.5212499999999998,1.17075
207,NonReferential,Gendered,Binary,Parietal,4.1015,3.3565,-0.7449999999999997
207,NonReferential,NonGendered,Binary,Central,2.6685,2.7635,0.0950000000000002
207,NonReferential,NonGendered,Binary,CentroParietal,2.69375,2.56025,-0.13350000000000017
207,NonReferential,NonGendered,Binary,Frontal,2.8689999999999998,3.92975,1.06075
207,NonReferential,NonGendered,Binary,FrontoCentral,2.90725,3.2375,0.33024999999999993
207,NonReferential,NonGendered,Binary,Parietal,2.51325,2.778,0.2647499999999998
207,Referential,Gendered,Binary,Central,0.5367500000000001,-1.8855000000000002,-2.42225
207,Referential,Gendered,Binary,CentroParietal,0.9339999999999999,-2.0572500000000002,-2.99125
207,Referential,Gendered,Binary,Frontal,0.5219999999999999,-1.53575,-2.05775
207,Referential,Gendered,Binary,FrontoCentral,0.10849999999999999,-1.9689999999999999,-2.0774999999999997
207,Referential,Gendered,Binary,Parietal,1.4712500000000002,-2.1414999999999997,-3.61275
207,Referential,NonGendered,Binary,Central,3.92525,-0.10450000000000009,-4.02975
207,Referential,NonGendered,Binary,CentroParietal,4.0275,0.10025000000000006,-3.92725
207,Referential,NonGendered,Binary,Frontal,4.212,-0.841,-5.053
207,Referential,NonGendered,Binary,FrontoCentral,4.453250000000001,-0.30600000000000005,-4.759250000000001
207,Referential,NonGendered,Binary,Parietal,3.955,0.94775,-3.00725
209,NonReferential,Gendered,Binary,Central,0.959,0.2802499999999999,-0.6787500000000001
209,NonReferential,Gendered,Binary,CentroParietal,1.016,-0.3230000000000002,-1.3390000000000002
209,NonReferential,Gendered,Binary,Frontal,2.3725,2.685,0.3125
209,NonReferential,Gendered,Binary,FrontoCentral,1.2525,0.95225,-0.3002499999999999
