SubjID,Referentiality,Gender_Status,Group,Baseline,Critical,diff_score
223,NonReferential,Gendered,Binary,-1.1271,0.32855,1.4556499999999999
223,NonReferential,NonGendered,Binary,0.8036,0.74425,-0.059350000000000014
223,Referential,Gendered,Binary,0.26394999999999996,-1.2118,-1.47575
223,Referential,NonGendered,Binary,-0.08234999999999999,-0.4319,-0.34955
224,NonReferential,Gendered,Binary,1.16085,1.81225,0.6514
224,NonReferential,NonGendered,Binary,3.116,1.25855,-1.85745
224,Referential,Gendered,Binary,0.6059,3.48625,2.88035
224,Referential,NonGendered,Binary,1.3911,1.61895,0.22784999999999989
302,NonReferential,Gendered,NonBinary,0.75015,0.14260000000000003,-0.6075499999999999
302,NonReferential,NonGendered,NonBinary,1.1581,0.3956,-0.7625
302,Referential,Gendered,NonBinary,0.19105,0.388,0.19695000000000001
302,Referential,NonGendered,NonBinary,0.9457499999999998,-0.8586,-1.80435
303,NonReferential,Gendered,NonBinary,2.1299,1.1847999999999999,-0.9451000000000003
303,NonReferential,NonGendered,NonBinary,0.9693499999999999,0.1924,-0.7769499999999999
303,Referential,Gendered,NonBinary,-0.24905,0.33795,0.587
303,Referential,NonGendered,NonBinary,1.6611,-1.37595,-3.03705
304,NonReferential,Gendered,NonBinary,-0.0047499999999999765,-1.5329000000000002,-1.5281500000000001
304,NonReferential,NonGendered,NonBinary,-0.0825000000000001,1.73575,1.81825
304,Referential,Gendered,NonBinary,0.07099999999999998,4.5185,4.447500000000001
304,Referential,NonGendered,NonBinary,1.7660999999999996,-0.33425,-2.1003499999999997
305,NonReferential,Gendered,NonBinary,0.3911,-1.0565,-1.4476
305,NonReferential,NonGendered,NonBinary,0.9013500000000001,0.3519,-0.5494500000000001
305,Referential,Gendered,NonBinary,-0.11655000000000003,0.8208500000000001,0.9374000000000001
305,Referential,NonGendered,NonBinary,0.9182999999999999,1.25255,0.33425000000000016
306,NonReferential,Gendered,NonBinary,1.3609499999999999,0.37575000000000014,-0.9851999999999997
306,NonReferential,NonGendered,NonBinary,-1.0263000000000002,1.7658,2.7921000000000005
306,Referential,Gendered,NonBinary,-1.1349,-0.29514999999999986,0.8397500000000002
306,Referential,NonGendered,NonBinary,2.3861000000000003,0.0453,-2.3408
307,NonReferential,Gendered,NonBinary,-0.48175000000000007,-0.72345,-0.24169999999999997
307,NonReferential,NonGendered,NonBinary,2.13735,2.2658,0.12844999999999995
307,Referential,Gendered,NonBinary,0.4708,0.10889999999999997,-0.3619
307,Referential,NonGendered,NonBinary,-0.9169,0.017300000000000006,0.9342
308,NonReferential,Gendered,NonBinary,-0.25935,0.46295000000000003,0.7223
308,NonReferential,NonGendered,NonBinary,0.73225,-0.4865999999999999,-1.2188499999999998
308,Referential,Gendered,NonBinary,-0.6053499999999999,-0.5865499999999999,0.01880000000000004
308,Referential,NonGendered,NonBinary,1.6044500000000002,1.46635,-0.1381000000000001
311,NonReferential,Gendered,NonBinary,1.48845,1.4569000000000003,-0.031549999999999745
311,NonReferential,NonGendered,NonBinary,1.13135,3.3854,2.2540500000000003
311,Referential,Gendered,NonBinary,-0.09260000000000004,2.4595000000000002,2.5521000000000003
311,Referential,NonGendered,NonBinary,-0.5844000000000003,2.92775,3.51215
312,NonReferential,Gendered,NonBinary,0.33835000000000004,0.22614999999999993,-0.1122000000000001
312,NonReferential,NonGendered,NonBinary,1.52375,-0.1954000000000001,-1.71915
312,Referential,Gendered,NonBinary,-0.46754999999999997,1.19435,1.6619
312,Referential,NonGendered,NonBinary,1.05495,2.7603,1.70535
313,NonReferential,Gendered,NonBinary,0.21545000000000006,1.37355,1.1581
313,NonReferential,NonGendered,NonBinary,1.59945,1.2323,-0.3671500000000001
313,Referential,Gendered,NonBinary,0.06089999999999996,2.09565,2.03475
313,Referential,NonGendered,NonBinary,1.3817,1.1918,-0.18989999999999996
