SubjID,Referentiality,Gender_Status,Group,Baseline,Critical,diff_score
223,NonReferential,Gendered,Binary,-0.507,0.23665000000000025,0.7436500000000003
223,NonReferential,NonGendered,Binary,-0.36299999999999993,-0.15330000000000002,0.20969999999999991
223,Referential,Gendered,Binary,-0.06745000000000016,0.36055,0.42800000000000016
223,Referential,NonGendered,Binary,1.0859,-0.3248499999999999,-1.41075
224,NonReferential,Gendered,Binary,0.3195,0.94435,0.62485
224,NonReferential,NonGendered,Binary,1.1263,1.5932,0.46689999999999987
224,Referential,Gendered,Binary,1.8782,-0.9979999999999999,-2.8762
224,Referential,NonGendered,Binary,-1.5987000000000002,0.9426,2.5413
302,NonReferential,Gendered,NonBinary,0.20224999999999996,0.29845,0.09620000000000004
302,NonReferential,NonGendered,NonBinary,-0.49335,-0.3897,0.10365000000000002
302,Referential,Gendered,NonBinary,-1.43255,-1.2994999999999999,0.1330500000000001
302,Referential,NonGendered,NonBinary,0.06780000000000003,-0.8265,-0.8943000000000001
303,NonReferential,Gendered,NonBinary,0.6004499999999998,0.2906,-0.3098499999999998
303,NonReferential,NonGendered,NonBinary,0.9248500000000001,-0.37670000000000003,-1.3015500000000002
303,Referential,Gendered,NonBinary,-1.45445,1.0233500000000002,2.4778000000000002
303,Referential,NonGendered,NonBinary,0.6689999999999999,0.07925000000000018,-0.5897499999999998
304,NonReferential,Gendered,NonBinary,-0.4167500000000001,2.7970499999999996,3.2137999999999995
304,NonReferential,NonGendered,NonBinary,0.99845,2.34335,1.3449
304,Referential,Gendered,NonBinary,0.43075,2.0027,1.57195
304,Referential,NonGendered,NonBinary,1.0943,-0.83585,-1.93015
305,NonReferential,Gendered,NonBinary,0.12800000000000028,6.6514,6.5234
305,NonReferential,NonGendered,NonBinary,0.7136,2.63965,1.92605
305,Referential,Gendered,NonBinary,1.37625,1.20265,-0.17359999999999998
305,Referential,NonGendered,NonBinary,1.0101,1.66645,0.65635
306,NonReferential,Gendered,NonBinary,0.49054999999999993,2.3141499999999997,1.8235999999999999
306,NonReferential,NonGendered,NonBinary,0.3832500000000001,1.70975,1.3265
306,Referential,Gendered,NonBinary,1.84355,1.1136,-0.7299500000000001
306,Referential,NonGendered,NonBinary,-0.029250000000000054,0.46165000000000006,0.4909000000000001
307,NonReferential,Gendered,NonBinary,-1.04305,2.8449999999999998,3.88805
307,NonReferential,NonGendered,NonBinary,-0.6178,2.78215,3.39995
307,Referential,Gendered,NonBinary,2.6407000000000003,2.2568,-0.38390000000000013
307,Referential,NonGendered,NonBinary,1.6315,-0.35769999999999996,-1.9891999999999999
308,NonReferential,Gendered,NonBinary,0.23119999999999985,0.08949999999999995,-0.14169999999999988
308,NonReferential,NonGendered,NonBinary,0.06815000000000003,-0.3862000000000001,-0.45435000000000014
308,Referential,Gendered,NonBinary,-0.37055000000000016,1.60585,1.9764000000000002
308,Referential,NonGendered,NonBinary,1.2249999999999999,-0.66355,-1.88855
311,NonReferential,Gendered,NonBinary,1.6823000000000001,2.9103,1.2279999999999998
311,NonReferential,NonGendered,NonBinary,-1.0677,1.0313999999999999,2.0991
311,Referential,Gendered,NonBinary,1.01865,2.8134500000000005,1.7948000000000004
311,Referential,NonGendered,NonBinary,0.51115,0.66605,0.15490000000000004
312,NonReferential,Gendered,NonBinary,-1.437,3.3166,4.7536000000000005
312,NonReferential,NonGendered,NonBinary,-3.04485,-0.94405,2.1008
312,Referential,Gendered,NonBinary,0.291,-0.7332499999999998,-1.0242499999999999
312,Referential,NonGendered,NonBinary,-0.33910000000000007,-0.756,-0.41689999999999994
313,NonReferential,Gendered,NonBinary,1.5024000000000002,0.9161,-0.5863000000000002
313,NonReferential,NonGendered,NonBinary,0.1821,2.71955,2.5374499999999998
313,Referential,Gendered,NonBinary,1.46235,0.16795,-1.2944
313,Referential,NonGendered,NonBinary,-1.3579,-0.40270000000000006,0.9552
315,NonReferential,Gendered,NonBinary,0.60935,2.7244,2.11505
315,NonReferential,NonGendered,NonBinary,0.7047,0.8942,0.1895
315,Referential,Gendered,NonBinary,1.01965,0.6998499999999999,-0.3198000000000001
315,Referential,NonGendered,NonBinary,0.8422,1.25565,0.41345
318,NonReferential,Gendered,NonBinary,-1.06965,1.5497,2.61935
318,NonReferential,NonGendered,NonBinary,-0.4567500000000001,0.9077000000000001,1.3644500000000002
318,Referential,Gendered,NonBinary,-0.3251,-2.27565,-1.9505500000000002
318,Referential,NonGendered,NonBinary,-1.4705000000000001,0.2565500000000001,1.7270500000000002
319,NonReferential,Gendered,NonBinary,1.3839000000000001,2.0559000000000003,0.6720000000000002
319,NonReferential,NonGendered,NonBinary,-0.24335,2.77475,3.0181
319,Referential,Gendered,NonBinary,2.0433000000000003,0.005499999999999968,-2.0378000000000003
319,Referential,NonGendered,NonBinary,0.34825,0.9918,0.6435500000000001
320,NonReferential,Gendered,NonBinary,0.41094999999999965,1.9483,1.5373500000000002
320,NonReferential,NonGendered,NonBinary,1.07285,-1.55935,-2.6322
320,Referential,Gendered,NonBinary,0.3037,1.1698,0.8660999999999999
320,Referential,NonGendered,NonBinary,2.0554,-0.44710000000000005,-2.5025000000000004
401,NonReferential,Gendered,NonBinary,-0.6713,0.77945,1.45075
